iter	Passed	Remaining
896	3348	384
897	3351	380
898	3355	376
899	3358	373
900	3362	369
901	3366	365
902	3369	361
903	3372	358
904	3376	354
905	3379	350
906	3382	346
907	3385	343
908	3389	339
909	3391	335
910	3395	331
911	3398	327
912	3401	324
913	3404	320
914	3408	316
915	3411	312
916	3416	309
917	3420	305
918	3424	301
919	3427	298
920	3430	294
921	3434	290
922	3438	286
923	3441	283
924	3444	279
925	3448	275
926	3451	271
927	3455	268
928	3458	264
929	3461	260
930	3465	256
931	3469	253
932	3473	249
933	3476	245
934	3479	241
935	3483	238
936	3486	234
937	3489	230
938	3493	226
939	3496	223
940	3500	219
941	3503	215
942	3506	211
943	3510	208
944	3513	204
945	3517	200
946	3520	197
947	3523	193
948	3528	189
949	3532	185
950	3536	182
951	3539	178
952	3543	174
953	3546	171
954	3550	167
955	3553	163
956	3556	159
957	3560	156
958	3564	152
959	3567	148
960	3570	144
961	3574	141
962	3577	137
963	3580	133
964	3586	130
965	3590	126
966	3593	122
967	3596	118
968	3600	115
969	3603	111
970	3607	107
971	3610	103
972	3613	100
973	3616	96
974	3620	92
975	3623	89
976	3627	85
977	3631	81
978	3635	77
979	3638	74
980	3641	70
981	3645	66
982	3649	63
983	3653	59
984	3657	55
985	3660	51
986	3664	48
987	3667	44
988	3671	40
989	3674	37
990	3677	33
991	3681	29
992	3684	25
993	3687	22
994	3691	18
995	3694	14
996	3698	11
997	3701	7
998	3704	3
999	3708	0
